id,title,author,book_page_url,image_url
46,Balcony in the Forest,Julien Gracq,https://www.nyrb.com/collections/classics/products/a-balcony-in-the-forest,https://cdn.shopify.com/s/files/1/0726/9203/products/Balcony_in_the_Forest_large.jpg?v=1508172851
47,Memoirs from Beyond the Grave,François-René de Chateaubriand,https://www.nyrb.com/collections/classics/products/memoirs-from-beyond-the-grave,https://cdn.shopify.com/s/files/1/0726/9203/products/Memoirs_from_Beyond_the_Grave_9ca5c8c6-ada0-47f3-8a00-3a7931abff50_large.jpg?v=1516650940
48,Nothing,Henry Green,https://www.nyrb.com/collections/classics/products/nothing,https://cdn.shopify.com/s/files/1/0726/9203/products/green.Nothing.4.7_large.jpeg?v=1492117683
49,Earthly Signs,Marina Tsvetaeva,https://www.nyrb.com/collections/classics/products/earthly-signs,https://cdn.shopify.com/s/files/1/0726/9203/products/Earthly_Signs_final_cover_large.jpg?v=1505750974
50,Doting,Henry Green,https://www.nyrb.com/collections/classics/products/doting,https://cdn.shopify.com/s/files/1/0726/9203/products/green.Doting.4.7_large.jpeg?v=1492116081
51,Uncertain Glory,Joan Sales,https://www.nyrb.com/collections/classics/products/uncertain-glory,https://cdn.shopify.com/s/files/1/0726/9203/products/Uncertain_Glory_large.jpg?v=1503441224
52,Little Reunions,Eileen Chang,https://www.nyrb.com/collections/classics/products/little-reunions,https://cdn.shopify.com/s/files/1/0726/9203/products/chang.little_reunions_BLUE_large.jpg?v=1492114973
53,The Collected Essays of Elizabeth Hardwick,Elizabeth Hardwick,https://www.nyrb.com/collections/classics/products/the-collected-essays-of-elizabeth-hardwick,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Collected_Essays_of_Elizabeth_Hardwick_large.jpg?v=1503440472
54,Difficult Women,David Plante,https://www.nyrb.com/collections/classics/products/difficult-women,https://cdn.shopify.com/s/files/1/0726/9203/products/Difficult_Women_large.jpg?v=1508440456
55,Other Men's Daughters,Richard Stern,https://www.nyrb.com/collections/classics/products/other-mens-daughters,https://cdn.shopify.com/s/files/1/0726/9203/products/Other_Mens_Daughters_large.jpg?v=1498166745
56,Melville,Jean Giono,https://www.nyrb.com/collections/classics/products/melville,https://cdn.shopify.com/s/files/1/0726/9203/products/giono.new_large.jpg?v=1490112943
57,In a Lonely Place,Dorothy B. Hughes,https://www.nyrb.com/collections/classics/products/in-a-lonely-place,https://cdn.shopify.com/s/files/1/0726/9203/products/hughes.final_hi-res_large.jpeg?v=1494452250
58,Katalin Street,Magda Szabó,https://www.nyrb.com/collections/classics/products/katalin-street,https://cdn.shopify.com/s/files/1/0726/9203/products/Katalin_Street_large.jpg?v=1500396161
59,Blood Dark,Louis Guilloux,https://www.nyrb.com/collections/classics/products/blood-dark,https://cdn.shopify.com/s/files/1/0726/9203/products/guilloux.hi-res_large.jpg?v=1497988297
60,The Communist,Guido Morselli,https://www.nyrb.com/collections/classics/products/the-communist-1,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Communist_large.jpg?v=1500672257
