openrefine_author_name,lat,long
Magda Szabó,47.49833333,19.04083333
Gyula Krúdy,47.49833333,19.04083333
Dezső Kosztolányi,47.49833333,19.04083333
Tibor Déry,47.49833333,19.04083333
Antal Szerb,47.6333,16.6
Jakob Wassermann,47.63944444,13.76333333
Jean Améry,47.8,13.03333333
Anton Chekhov,47.80166667,7.671944444
Gert Ledig,48.03333333,10.88333333
Joseph Joubert,48.08138889,3.296666667
Alfred Döblin,48.12138889,7.849166667
Hugo von Hofmannsthal,48.1328,16.2422
Erich Kästner,48.13719444,11.5755
Ernst Jünger,48.15527778,9.472777778
Arthur Schnitzler,48.20833,16.373064
Fritz Reck-Malleczewen,48.270278,11.468056
Adalbert Stifter,48.3,14.28333333
Franz Kafka,48.30833333,16.27416667
Victor Segalen,48.36444444,-3.744722222
Louis Guilloux,48.51361111,-2.760277778
Edmond de Goncourt,48.68611111,2.409444444
Félix Fénéon,48.76527778,2.278055556
Céleste Albaret,48.77722222,1.809166667
Nancy Mitford,48.80472222,2.134166667
Emmanuel Bove,48.85657778,2.351827778
Honoré de Balzac,48.85657778,2.351827778
François-René de Chateaubriand,48.85657778,2.351827778
Robert Bresson,48.85657778,2.351827778
Nadezhda Teffi,48.85657778,2.351827778
Mezz Mezzrow,48.85657778,2.351827778
Raymond Queneau,48.85657778,2.351827778
Jean-Paul Sartre,48.85657778,2.351827778
John Suckling,48.85657778,2.351827778
"Robert Bulwer-Lytton, 1st Earl of Lytton",48.85657778,2.351827778
Colette,48.85657778,2.351827778
Élisabeth Gille,48.85657778,2.351827778
Stendhal,48.85657778,2.351827778
Paul Hazard,48.85657778,2.351827778
Jules Vallès,48.85657778,2.351827778
"Louis de Rouvroy, duc de Saint-Simon",48.85657778,2.351827778
Albert Cossery,48.85657778,2.351827778
Jean Genet,48.85657778,2.351827778
Mavis Gallant,48.85657778,2.351827778
Jules de Goncourt,48.85657778,2.351827778
Dominique Vivant,48.85657778,2.351827778
Jules Renard,48.85657778,2.351827778
Aleksander Wat,48.85657778,2.351827778
Blaise Cendrars,48.85657778,2.351827778
Henri Michaux,48.85657778,2.351827778
"Astolphe-Louis-Léonor de Custine, Marquis de Custine",48.85657778,2.351827778
Qiu Miaojin,48.85657778,2.351827778
Emmanuel Bove,48.85657778,2.351827778
Jean-Patrick Manchette,48.85657778,2.351827778
"Philippe Paul, comte de Ségur",48.85657778,2.351827778
Raymond Radiguet,48.85657778,2.351827778
Henry de Montherlant,48.85657778,2.351827778
Guy de Maupassant,48.85711111,2.284136111
Ivan Turgenev,48.865,2.139444444
Jean d'Ormesson,48.88722222,2.2675
Théophile Gautier,48.88722222,2.2675
Georges Bernanos,48.88722222,2.2675
Józef Czapski,48.94611111,2.145
Edith Wharton,48.99861111,2.356944444
Multatuli,49.97472222,8.056388889
Benjamin Fondane,50.035833,19.178333
Saki,50.08361111,2.656388889
Bohumil Hrabal,50.08861111,14.42138889
John Betjeman,50.3,-4.9
Daphne du Maurier,50.3,-4.9
Gerald Basil Edwards,50.61305556,-2.456944444
