book_id,author
183,"Margaret Cavendish, Duchess of Newcastle"
183,James Grainger
183,John Dyer
183,Edward Jerningham
183,Thomas Haynes Bayly
183,Cornelius Whur
183,Edward Edwin Foot
183,George Eveleigh
183,John Banks
183,Lord Hervey John
183,Samuel Carter
183,T. Baker
183,Della Cruscans
183,Edward Young
183,Joseph Warton
183,Eliza Cook
184,Alexander Blok
184,Anna Akhmatova
184,Osip Mandelstam
184,Velimir Khlebnikov
184,Vladimir Mayakovsky
184,Marina Tsvetaeva
184,Boris Pasternak
184,Sergei Esenin
185,J.F. Powers
186,Gilbert Seldes
187,Gert Ledig
188,Gregor von Rezzori
189,Tatyana Tolstaya
190,Patrick Hamilton
191,Curzio Malaparte
192,J.G. Farrell
193,J.G. Farrell
194,Cesare Pavese
195,Osip Mandelstam
196,Robert Kirk
197,L.H. Myers
198,Vasily Grossman
199,Theodor Storm
200,Camara Laye
201,Vladimir Sorokin
202,A.J.A. Symons
203,Colette
204,Penelope Mortimer
205,Giuseppe Tomasi di Lampedusa
206,James Hogg
207,Max Beerbohm
208,Anton Chekhov
209,Stefan Zweig
210,Glenway Wescott
211,J.A. Baker
212,K'ung Shang-jen
213,Millen Brand
214,Henry James
215,Henry James
216,Thomas Tryon
217,Masanobu Fukuoka
218,Elaine Dundy
219,Kingsley Amis
220,Joseph Joubert
221,Henry James
222,Elizabeth Hardwick
223,Edith Wharton
224,Alexandros Papadiamantis
225,Jean Stafford
226,Leonardo Sciascia
227,Cesare Pavese
228,Élisabeth Gille
229,Lionel Trilling
230,Brian Moore
231,Jean-Patrick Manchette
232,Iona Opie
232,Peter Opie
233,Hugo von Hofmannsthal
234,Frans G. Bengtsson
235,Brian Moore
237,Bohumil Hrabal
238,
239,Stendhal
240,Lionel Trilling
241,Sigizmund Krzhizhanovsky
242,Luigi Pirandello
243,John Ehle
244,David Stacton
245,Henry David Thoreau
246,Albert Cossery
247,Henry Adams
248,Henry James
249,Adolfo Bioy Casares
250,Dante Alighieri
251,Honoré de Balzac
252,Algernon Blackwood
252,W.H. Harvey
252,Charles Dickens
252,L.P. Hartley
252,R.H. Malden
252,Robert Louis Stevenson
252,E. Nesbit
252,Bram Stoker
252,Tom Hood
252,W.W. Jacobs
252,Wilkie Collins
252,M.R. James
253,Simon Leys
254,Kingsley Amis
255,Josep Pla
256,T.H. White
257,Shchedrin
258,L.P. Hartley
259,Ernst Junger
260,Natsume Soseki
261,John Horne Burns
262,Janet Hobhouse
263,Richard Hughes
264,Rebecca West
265,Andrey Platonov
266,Der Nister
267,Arthur Conan Doyle
268,Dorothy B. Hughes
269,Elizabeth von Arnim
270,Russell Page
271,Elaine Dundy
272,Magda Szab�
273,Boles_aw Prus
274,Simon Leys
275,Leonardo Sciascia
